"Label (Grouping)","Onondaga County, New York!!Total!!Estimate","Onondaga County, New York!!Total!!Margin of Error","Onondaga County, New York!!Below poverty level!!Estimate","Onondaga County, New York!!Below poverty level!!Margin of Error","Onondaga County, New York!!Percent below poverty level!!Estimate","Onondaga County, New York!!Percent below poverty level!!Margin of Error","Syracuse city, New York!!Total!!Estimate","Syracuse city, New York!!Total!!Margin of Error","Syracuse city, New York!!Below poverty level!!Estimate","Syracuse city, New York!!Below poverty level!!Margin of Error","Syracuse city, New York!!Percent below poverty level!!Estimate","Syracuse city, New York!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","444,825","±2,089","55,713","±6,938","12.5%","±1.6","127,321","±1,373","33,139","±5,984","26.0%","±4.6"
"    AGE","","","","","","","","","","","",""
"        Under 18 years","93,790","±1,738","14,592","±3,659","15.6%","±3.9","24,870","±2,428","10,183","±3,396","40.9%","±12.0"
"            Under 5 years","22,940","±1,402","4,454","±1,868","19.4%","±7.6","7,494","±1,533","3,687","±1,790","49.2%","±18.6"
"            5 to 17 years","70,850","±1,058","10,138","±2,586","14.3%","±3.6","17,376","±2,204","6,496","±2,398","37.4%","±12.1"
"            Related children of householder under 18 years","93,613","±1,747","14,415","±3,660","15.4%","±3.9","24,777","±2,432","10,090","±3,403","40.7%","±12.1"
"        18 to 64 years","262,165","±1,632","32,098","±3,808","12.2%","±1.4","81,826","±2,707","19,471","±3,021","23.8%","±3.7"
"            18 to 34 years","89,952","±1,464","14,167","±2,429","15.7%","±2.6","37,125","±2,673","9,581","±2,148","25.8%","±5.4"
"            35 to 64 years","172,213","±850","17,931","±2,295","10.4%","±1.3","44,701","±2,774","9,890","±1,799","22.1%","±4.0"
"        60 years and over","119,988","±2,224","12,056","±2,091","10.0%","±1.7","27,369","±2,450","4,867","±1,263","17.8%","±4.5"
"        65 years and over","88,870","±674","9,023","±1,474","10.2%","±1.7","20,625","±2,233","3,485","±812","16.9%","±3.8"
"    SEX","","","","","","","","","","","",""
"        Male","216,555","±1,568","23,912","±3,428","11.0%","±1.6","60,199","±2,214","14,920","±2,757","24.8%","±4.6"
"        Female","228,270","±1,315","31,801","±4,388","13.9%","±1.9","67,122","±2,261","18,219","±3,977","27.1%","±5.6"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","",""
"        White alone","330,624","±3,586","28,885","±4,576","8.7%","±1.4","63,310","±4,687","10,082","±3,452","15.9%","±5.2"
"        Black or African American alone","52,152","±3,254","15,578","±5,155","29.9%","±8.8","38,288","±4,645","14,826","±5,091","38.7%","±10.5"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian alone","17,620","±1,699","3,544","±1,668","20.1%","±8.6","9,990","±2,051","3,185","±1,605","31.9%","±13.1"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N"
"        Some other race alone","8,511","±2,098","2,530","±1,364","29.7%","±13.6","N","N","N","N","N","N"
"        Two or more races","33,967","±4,272","4,583","±1,508","13.5%","±4.5","10,920","±2,271","2,840","±956","26.0%","±8.3"
"        Hispanic or Latino origin (of any race)","27,443","±642","6,942","±1,873","25.3%","±6.7","12,496","±2,453","4,818","±1,772","38.6%","±12.0"
"        White alone, not Hispanic or Latino","324,122","±2,846","27,737","±4,403","8.6%","±1.3","60,751","±4,634","9,885","±3,331","16.3%","±5.0"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"        Population 25 years and over","319,654","±736","33,678","±3,469","10.5%","±1.1","89,120","±3,064","17,625","±2,547","19.8%","±3.0"
"            Less than high school graduate","24,213","±2,635","7,972","±1,574","32.9%","±5.4","12,569","±1,858","5,186","±1,425","41.3%","±8.4"
"            High school graduate (includes equivalency)","72,936","±3,650","11,336","±1,713","15.5%","±2.1","22,288","±2,663","5,321","±1,260","23.9%","±5.2"
"            Some college, associate's degree","87,085","±4,875","8,326","±1,773","9.6%","±2.0","22,567","±2,979","3,874","±1,403","17.2%","±5.7"
"            Bachelor's degree or higher","135,420","±4,762","6,044","±1,760","4.5%","±1.3","31,696","±3,672","3,244","±1,090","10.2%","±3.3"
"    EMPLOYMENT STATUS","","","","","","","","","","","",""
"        Civilian labor force 16 years and over","232,800","±4,252","15,150","±2,453","6.5%","±1.1","68,069","±3,449","9,270","±1,997","13.6%","±3.0"
"            Employed","223,143","±4,323","11,880","±2,204","5.3%","±1.0","63,630","±3,375","7,294","±1,809","11.5%","±2.8"
"                Male","111,560","±2,887","5,090","±1,481","4.6%","±1.3","30,416","±2,178","3,567","±1,273","11.7%","±4.0"
"                Female","111,583","±3,109","6,790","±1,482","6.1%","±1.3","33,214","±2,478","3,727","±1,101","11.2%","±3.3"
"            Unemployed","9,657","±1,435","3,270","±1,119","33.9%","±9.7","4,439","±1,114","1,976","±945","44.5%","±15.1"
"                Male","5,020","±812","1,259","±516","25.1%","±9.8","2,069","±661","596","±371","28.8%","±15.6"
"                Female","4,637","±1,312","2,011","±886","43.4%","±13.1","2,370","±951","1,380","±813","58.2%","±19.7"
"    WORK EXPERIENCE","","","","","","","","","","","",""
"        Population 16 years and over","363,216","±1,672","42,606","±4,472","11.7%","±1.2","105,776","±2,547","23,880","±3,367","22.6%","±3.3"
"            Worked full-time, year-round in the past 12 months","160,924","±5,048","3,227","±1,233","2.0%","±0.8","43,953","±3,902","1,619","±984","3.7%","±2.2"
"            Worked part-time or part-year in the past 12 months","79,568","±4,876","11,593","±2,286","14.6%","±2.7","24,906","±3,139","7,470","±1,761","30.0%","±6.0"
"            Did not work","122,724","±4,421","27,786","±3,312","22.6%","±2.3","36,917","±3,029","14,791","±2,262","40.1%","±5.1"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","",""
"        50 percent of poverty level","31,112","±6,054","(X)","(X)","(X)","(X)","19,425","±5,147","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","73,228","±7,853","(X)","(X)","(X)","(X)","41,190","±6,047","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","86,389","±8,014","(X)","(X)","(X)","(X)","48,202","±6,087","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","103,891","±8,459","(X)","(X)","(X)","(X)","55,656","±6,150","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","113,781","±8,284","(X)","(X)","(X)","(X)","57,991","±6,270","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","176,968","±8,566","(X)","(X)","(X)","(X)","76,029","±5,614","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","244,385","±8,407","(X)","(X)","(X)","(X)","94,799","±4,386","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","298,697","±8,216","(X)","(X)","(X)","(X)","105,169","±4,183","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","107,529","±3,934","25,503","±2,885","23.7%","±2.5","45,471","±3,396","13,990","±2,217","30.8%","±4.7"
"    Male","52,158","±3,120","11,252","±1,870","21.6%","±3.2","23,539","±2,422","7,239","±1,520","30.8%","±6.0"
"    Female","55,371","±2,628","14,251","±2,076","25.7%","±3.6","21,932","±2,313","6,751","±1,470","30.8%","±6.3"
"    15 years","0","±220","0","±220","-","**","0","±220","0","±220","-","**"
"    16 to 17 years","177","±162","177","±162","100.0%","±55.3","93","±133","93","±133","100.0%","±76.3"
"    18 to 24 years","11,745","±2,119","4,547","±1,264","38.7%","±8.7","6,925","±2,011","3,239","±1,157","46.8%","±14.6"
"    25 to 34 years","23,762","±1,944","3,859","±1,388","16.2%","±5.5","11,630","±1,830","2,210","±1,036","19.0%","±8.0"
"    35 to 44 years","12,842","±1,924","3,698","±1,061","28.8%","±7.5","6,130","±1,716","1,786","±708","29.1%","±10.7"
"    45 to 54 years","10,419","±1,330","2,348","±637","22.5%","±5.9","5,071","±1,143","1,441","±562","28.4%","±10.4"
"    55 to 64 years","14,561","±1,987","3,906","±1,103","26.8%","±6.8","5,420","±1,228","2,141","±952","39.5%","±14.0"
"    65 to 74 years","17,778","±2,014","3,450","±990","19.4%","±4.9","5,922","±1,296","1,765","±696","29.8%","±10.0"
"    75 years and over","16,245","±1,426","3,518","±1,012","21.7%","±5.7","4,280","±922","1,315","±657","30.7%","±13.2"
"    Mean income deficit for unrelated individuals (dollars)","9,356","±596","(X)","(X)","(X)","(X)","9,939","±794","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","44,713","±3,606","1,863","±993","4.2%","±2.2","18,922","±2,979","867","±783","4.6%","±4.0"
"    Worked less than full-time, year-round in the past 12 months","22,259","±2,903","6,851","±1,641","30.8%","±5.7","11,334","±2,201","4,316","±1,207","38.1%","±8.6"
"    Did not work","40,557","±2,664","16,789","±2,061","41.4%","±4.0","15,215","±2,117","8,807","±1,520","57.9%","±7.3"
"    Population in housing units for whom poverty status is determined","440,801","±2,132","52,705","±6,949","12.0%","±1.6","125,021","±1,373","31,421","±5,994","25.1%","±4.7"
