"County","Agency","Year","Months Reported","Index Total","Violent Total","Murder","Rape","Robbery","Aggravated Assault","Property Total","Burglary","Larceny","Motor Vehicle Theft"
"Onondaga","East Syracuse Vg PD","2014","12","213","7","0","0","1","6","206","29","171","6"
"Onondaga","East Syracuse Vg PD","2013","12","155","8","0","0","4","4","147","19","121","7"
"Onondaga","East Syracuse Vg PD","2012","12","220","17","0","0","4","13","203","30","164","9"
"Onondaga","East Syracuse Vg PD","2011","12","235","8","0","1","2","5","227","17","201","9"
"Onondaga","East Syracuse Vg PD","2010","12","174","9","0","0","4","5","165","25","132","8"
"Onondaga","East Syracuse Vg PD","2009","12","177","3","0","0","0","3","174","23","144","7"
"Onondaga","East Syracuse Vg PD","2008","12","186","14","0","0","7","7","172","21","143","8"
"Onondaga","East Syracuse Vg PD","2007","12","134","21","0","0","3","18","113","15","94","4"
"Onondaga","East Syracuse Vg PD","2006","12","160","14","0","1","7","6","146","12","129","5"
"Onondaga","East Syracuse Vg PD","2005","12","182","10","0","0","1","9","172","21","142","9"
"Onondaga","East Syracuse Vg PD","2004","12","220","12","0","0","6","6","208","31","170","7"
"Onondaga","East Syracuse Vg PD","2003","12","256","13","0","1","5","7","243","30","200","13"
"Onondaga","East Syracuse Vg PD","2002","12","119","8","0","1","5","2","111","20","81","10"
"Onondaga","East Syracuse Vg PD","2001",,"123","6","0","0","4","2","117","22","92","3"
"Onondaga","East Syracuse Vg PD","2000",,"137","7","0","1","0","6","130","11","114","5"
"Onondaga","East Syracuse Vg PD","1999",,"154","6","0","0","1","5","148","24","116","8"
"Onondaga","East Syracuse Vg PD","1998",,"161","11","0","0","2","9","150","23","123","4"
"Onondaga","East Syracuse Vg PD","1997",,"177","3","0","0","1","2","174","38","132","4"
"Onondaga","East Syracuse Vg PD","1996",,"219","4","0","1","0","3","215","35","176","4"
"Onondaga","East Syracuse Vg PD","1995",,"174","4","0","1","0","3","170","31","130","9"
"Onondaga","East Syracuse Vg PD","1994",,"160","11","0","1","5","5","149","32","104","13"
"Onondaga","East Syracuse Vg PD","1993",,"144","2","0","1","0","1","142","32","99","11"
"Onondaga","East Syracuse Vg PD","1992",,"123","4","1","0","0","3","119","24","88","7"
"Onondaga","East Syracuse Vg PD","1991",,"212","5","0","0","2","3","207","41","162","4"
"Onondaga","East Syracuse Vg PD","1990",,"201","11","0","1","3","7","190","50","127","13"
"Onondaga","North Syracuse Vg PD","2024","12","100","10","0","1","1","8","90","10","74","6"
"Onondaga","North Syracuse Vg PD","2023","12","110","12","0","1","0","11","98","13","77","8"
"Onondaga","North Syracuse Vg PD","2022","12","96","8","0","1","2","5","88","11","73","4"
"Onondaga","North Syracuse Vg PD","2021","12","80","12","0","2","1","9","68","8","49","11"
"Onondaga","North Syracuse Vg PD","2020","12","124","15","0","0","3","12","109","10","91","8"
"Onondaga","North Syracuse Vg PD","2019","12","84","14","0","0","5","9","70","5","61","4"
"Onondaga","North Syracuse Vg PD","2018","12","78","12","0","3","4","5","66","9","52","5"
"Onondaga","North Syracuse Vg PD","2017","12","108","9","0","2","1","6","99","13","81","5"
"Onondaga","North Syracuse Vg PD","2016","12","74","2","0","0","2","0","72","9","60","3"
"Onondaga","North Syracuse Vg PD","2015","12","80","7","0","1","1","5","73","7","65","1"
"Onondaga","North Syracuse Vg PD","2014","12","109","14","0","0","3","11","95","15","76","4"
"Onondaga","North Syracuse Vg PD","2013","12","121","10","0","0","0","10","111","14","94","3"
"Onondaga","North Syracuse Vg PD","2012","11","84","5","0","0","1","4","79","11","66","2"
"Onondaga","North Syracuse Vg PD","2011","12","181","26","0","0","2","24","155","19","131","5"
"Onondaga","North Syracuse Vg PD","2010","12","85","6","0","0","0","6","79","10","64","5"
"Onondaga","North Syracuse Vg PD","2009","12","67","6","0","0","1","5","61","10","50","1"
"Onondaga","North Syracuse Vg PD","2008","12","114","9","0","1","2","6","105","17","85","3"
"Onondaga","North Syracuse Vg PD","2007","12","58","7","1","0","0","6","51","12","38","1"
"Onondaga","North Syracuse Vg PD","2006","12","65","12","0","0","6","6","53","7","46","0"
"Onondaga","North Syracuse Vg PD","2005","12","95","13","0","1","5","7","82","11","71","0"
"Onondaga","North Syracuse Vg PD","2004","12","125","7","0","1","0","6","118","12","106","0"
"Onondaga","North Syracuse Vg PD","2003","12","124","16","0","1","4","11","108","18","86","4"
"Onondaga","North Syracuse Vg PD","2002","12","166","15","0","2","3","10","151","29","121","1"
"Onondaga","North Syracuse Vg PD","2001",,"174","14","0","0","6","8","160","27","131","2"
"Onondaga","North Syracuse Vg PD","2000",,"227","32","0","0","5","27","195","37","158","0"
"Onondaga","North Syracuse Vg PD","1999",,"200","13","0","0","3","10","187","29","156","2"
"Onondaga","North Syracuse Vg PD","1998",,"190","5","0","0","2","3","185","40","143","2"
"Onondaga","North Syracuse Vg PD","1997",,"214","6","0","0","4","2","208","46","156","6"
"Onondaga","North Syracuse Vg PD","1996",,"211","1","0","0","1","0","210","28","178","4"
"Onondaga","North Syracuse Vg PD","1995",,"195","7","0","0","2","5","188","37","147","4"
"Onondaga","North Syracuse Vg PD","1994",,"175","8","0","1","4","3","167","27","138","2"
"Onondaga","North Syracuse Vg PD","1993",,"194","6","0","1","2","3","188","32","152","4"
"Onondaga","North Syracuse Vg PD","1992",,"309","11","0","1","6","4","298","50","241","7"
"Onondaga","North Syracuse Vg PD","1991",,"269","9","0","3","2","4","260","57","200","3"
"Onondaga","North Syracuse Vg PD","1990",,"238","5","0","1","1","3","233","43","183","7"
"Onondaga","Syracuse City PD","2024","12","7,259","1,111","21","85","195","810","6,148","1,047","3,831","1,270"
"Onondaga","Syracuse City PD","2023","12","6,668","1,171","20","91","253","807","5,497","944","3,530","1,023"
"Onondaga","Syracuse City PD","2022","12","5,725","1,295","18","80","287","910","4,430","1,171","2,636","623"
"Onondaga","Syracuse City PD","2021","12","4,736","1,228","29","58","264","877","3,508","886","2,082","540"
"Onondaga","Syracuse City PD","2020","12","5,200","1,191","31","96","222","842","4,009","1,032","2,463","514"
"Onondaga","Syracuse City PD","2019","12","5,593","1,129","19","105","246","759","4,464","850","3,051","563"
"Onondaga","Syracuse City PD","2018","12","5,426","1,006","23","92","285","606","4,420","831","3,083","506"
"Onondaga","Syracuse City PD","2017","12","5,826","1,009","20","98","284","607","4,817","1,145","3,301","371"
"Onondaga","Syracuse City PD","2016","12","5,714","1,063","30","68","329","636","4,651","1,021","3,290","340"
"Onondaga","Syracuse City PD","2015","12","6,229","1,142","22","77","359","684","5,087","1,194","3,577","316"
"Onondaga","Syracuse City PD","2014","12","6,898","1,143","20","49","406","668","5,755","1,404","3,986","365"
"Onondaga","Syracuse City PD","2013","12","7,665","1,192","21","75","400","696","6,473","1,781","4,298","394"
"Onondaga","Syracuse City PD","2012","12","7,348","1,372","14","75","454","829","5,976","1,896","3,698","382"
"Onondaga","Syracuse City PD","2011","12","6,577","1,302","11","63","388","840","5,275","1,705","3,261","309"
"Onondaga","Syracuse City PD","2010","12","6,999","1,291","15","68","377","831","5,708","2,174","3,167","367"
"Onondaga","Syracuse City PD","2009","12","7,122","1,343","18","70","403","852","5,779","1,946","3,495","338"
"Onondaga","Syracuse City PD","2008","12","7,531","1,366","24","71","419","852","6,165","1,938","3,725","502"
"Onondaga","Syracuse City PD","2007","12","7,399","1,435","19","67","446","903","5,964","1,785","3,618","561"
"Onondaga","Syracuse City PD","2006","12","8,192","1,515","12","66","534","903","6,677","1,904","4,037","736"
"Onondaga","Syracuse City PD","2005","12","8,056","1,570","19","73","554","924","6,486","1,867","3,639","980"
"Onondaga","Syracuse City PD","2004","12","7,983","1,322","16","70","451","785","6,661","1,678","3,839","1,144"
"Onondaga","Syracuse City PD","2003","12","9,081","1,359","15","66","485","793","7,722","1,986","4,519","1,217"
"Onondaga","Syracuse City PD","2002","12","9,792","1,520","24","43","551","902","8,272","1,930","5,060","1,282"
"Onondaga","Syracuse City PD","2001",,"9,466","1,561","15","42","567","937","7,905","1,810","5,194","901"
"Onondaga","Syracuse City PD","2000",,"9,129","1,564","18","47","452","1,047","7,565","1,846","4,941","778"
"Onondaga","Syracuse City PD","1999",,"9,168","1,562","9","51","492","1,010","7,606","2,039","4,799","768"
"Onondaga","Syracuse City PD","1998",,"9,948","1,422","12","49","465","896","8,526","2,194","5,678","654"
"Onondaga","Syracuse City PD","1997",,"10,505","1,430","15","55","586","774","9,075","2,388","5,956","731"
"Onondaga","Syracuse City PD","1996",,"10,999","1,398","15","62","579","742","9,601","2,821","5,940","840"
"Onondaga","Syracuse City PD","1995",,"11,340","1,467","18","84","633","732","9,873","3,048","6,032","793"
"Onondaga","Syracuse City PD","1994",,"10,643","1,234","16","58","582","578","9,409","2,945","5,680","784"
"Onondaga","Syracuse City PD","1993",,"11,115","1,361","18","79","561","703","9,754","2,824","6,358","572"
"Onondaga","Syracuse City PD","1992",,"11,864","1,538","13","85","645","795","10,326","3,023","6,629","674"
"Onondaga","Syracuse City PD","1991",,"12,706","1,558","13","86","607","852","11,148","3,328","7,108","712"
"Onondaga","Syracuse City PD","1990",,"11,313","1,399","14","118","493","774","9,914","2,999","6,326","589"
